"","Control","Drought"
"Vertex",59,59
"Edge",137,131
"Average_degree",4.64406779661017,4.44067796610169
"Average_path_length",1.4613141173561,1.82924501008093
"Network_diameter",5,5
"Clustering_coefficient",0.841726618705036,0.678947368421053
"Density",0.0800701344243133,0.0765634132086499
"Heterogeneity",0.989802655521804,0.735396318804019
"Centralization",0.161309175920514,0.113091759205143
"Modularity",0.495752296183616,0.63359003071054
