"","UCR369","ES4"
"Vertex",60,50
"Edge",151,100
"Average_degree",5.03333333333333,4
"Average_path_length",1.87432888904021,1.42118013498903
"Network_diameter",4,3
"Clustering_coefficient",0.577827547592385,0.721286370597244
"Density",0.0853107344632768,0.0816326530612245
"Heterogeneity",0.616406175681429,0.948952161113316
"Centralization",0.101129943502825,0.163265306122449
"Modularity",0.629590155920469,0.497960247104364
